2006 BMW X5 4.8IS,"37,000 mi · Automatic · LHD · Original & Highly Original","Salt Lake City, UT, USA","$26,000
SOLD",Bring a Trailer,Auction,"Nov 24, 2021"
2018 BMW X5 M,"30,674 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Oct 27, 2021"
2002 BMW X5,"178,500 km (110,915 mi) · Manual · LHD · Original & Highly Original","Old Toronto, ON, CAN","CAD5,300
SOLD",Fast Car Bids,Auction,"Oct 19, 2021"
2018 BMW X5 M,"29,730 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Oct 10, 2021"
2011 BMW X5,"138,728 mi · Automatic · LHD · Original & Highly Original","Las Vegas, NV, USA","$11,550
SOLD",Mecum,Auction,"Oct 7, 2021"
2005 BMW X5 3.0I,"140,200 mi · Manual · LHD · Original & Highly Original","New Port Richey, FL, USA","$8,000
SOLD",Cars & Bids,Auction,"Oct 6, 2021"
2018 BMW X5 XDRIVE35I,"32,249 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Sep 25, 2021"
2011 BMW X5 M,"75,100 mi · Automatic · LHD · Original & Highly Original","Chicago, IL, USA","$22,000
SOLD",Cars & Bids,Auction,"Sep 17, 2021"
2013 BMW X5 XDRIVE35D,"62,200 mi · Automatic · LHD · Original & Highly Original","Santa Barbara, CA, USA","$22,500
SOLD",Cars & Bids,Auction,"Sep 16, 2021"
2006 BMW X5 4.8IS,"18,000 mi · Automatic · LHD · Original & Highly Original","Woodstock, GA, USA","$45,000
SOLD",Bring a Trailer,Auction,"Sep 15, 2021"
2003 BMW X5 4.6IS,"65,400 mi · Automatic · LHD · Original & Highly Original","Outagamie County, WI, USA","$15,000
SOLD",Cars & Bids,Auction,"Sep 10, 2021"
2019 BMW X5 XDRIVE40I M Sport,"13,709 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Aug 27, 2021"
2021 BMW X5 XDRIVE40I,"12,978 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Aug 24, 2021"
2011 BMW X5 xDrive,Automatic · LHD · Original & Highly Original,"Monterey County, CA, USA","$15,400
SOLD",Mecum,Auction,"Aug 13, 2021"
2013 BMW X5 xDrive,"73,000 mi · Automatic · LHD · Original & Highly Original","Orlando, FL, USA","$21,450
SOLD",Mecum,Auction,"Jul 30, 2021"
2003 BMW X5 3.0I,"59,800 mi · Automatic · LHD · Original & Highly Original","Dutchess County, NY, USA","$11,800
SOLD",Cars & Bids,Auction,"Jul 30, 2021"
2006 BMW X5 4.8IS,"7,000 mi · Automatic · LHD · Original & Highly Original","Nassau County, NY, USA","$45,000
SOLD",Bring a Trailer,Auction,"Jul 27, 2021"
2012 BMW X5 M,"51,800 mi · Automatic · LHD · Original & Highly Original","Sherwood, OR, USA","$30,500
SOLD",Cars & Bids,Auction,"Jul 20, 2021"
2003 BMW X5 3.0I,"161,100 mi · Manual · LHD · Original & Highly Original","Anderson, SC, USA","$7,100
SOLD",Cars & Bids,Auction,"Jul 19, 2021"
2003 BMW X5 4.6IS,"65,000 mi · Automatic · LHD · Original & Highly Original","Fort Lauderdale, FL, USA","$18,000
SOLD",Bring a Trailer,Auction,"Jul 19, 2021"
2015 BMW X5 XDRIVE35D,"78,500 mi · Automatic · LHD · Original & Highly Original","San Mateo County, CA, USA","$24,250
SOLD",Cars & Bids,Auction,"Jun 24, 2021"
2016 BMW X5,"36,325 mi · Automatic · LHD · Original & Highly Original","Las Vegas, NV, USA","$36,300
SOLD",Barrett-Jackson,Auction,"Jun 18, 2021"
2015 BMW X5 XDRIVE50I,"65,100 mi · Automatic · LHD · Original & Highly Original","Beaver, PA, USA","$27,000
SOLD",Cars & Bids,Auction,"Jun 16, 2021"
2006 BMW X5 4.8IS,"18,000 mi · Automatic · LHD · Original & Highly Original","Hawthorne, CA, USA","$40,750
SOLD",Bring a Trailer,Auction,"Jun 16, 2021"
2004 BMW X5 3.0I,"91,400 mi · Automatic · LHD · Original & Highly Original","Newtown Township, PA, USA","$8,000
SOLD",Cars & Bids,Auction,"Jun 14, 2021"
2012 BMW X5 M,"72,500 mi · Automatic · LHD · Original & Highly Original","Salt Lake City, UT, USA","$24,751
SOLD",Cars & Bids,Auction,"Jun 8, 2021"
2014 BMW X5 XDRIVE50I,"78,000 mi · Automatic · LHD · Original & Highly Original","Aurora, CO, USA","$24,500
SOLD",Cars & Bids,Auction,"Jun 1, 2021"
2003 BMW X5 3.0I,"145,600 mi · Manual · LHD · Original & Highly Original","York, PA, USA","$5,100
SOLD",Cars & Bids,Auction,"May 26, 2021"
2003 BMW X5 3.0I,"61,000 mi · Automatic · LHD · Original & Highly Original","Dutchess County, NY, USA","$11,063
SOLD",Cars & Bids,Auction,"May 24, 2021"
2005 BMW X5 3.0I,"203,600 mi · Manual · LHD · Original & Highly Original","Sharon, MA, USA","$9,300
SOLD",Cars & Bids,Auction,"May 19, 2021"
2005 BMW X5 4.8IS,"109,100 mi","Franklin, OH, USA","$8,969
SOLD",Cars & Bids,Auction,"May 6, 2021"
2018 BMW X5 M,"34,803 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Apr 24, 2021"
2010 BMW X5 M,"163,000 km (101,283 mi) · Automatic · LHD · Original & Highly Original","Laval, QC, CAN","CAD16,000
SOLD",Fast Car Bids,Auction,"Apr 22, 2021"
2010 BMW X5 M,"68,000 mi","Phoenix, AZ, USA","$32,000
SOLD",Bring a Trailer,Auction,"Apr 15, 2021"
2004 BMW X5 3.0I,"204,100 mi","Solon, OH, USA","$9,750
SOLD",Cars & Bids,Auction,"Apr 12, 2021"
2005 BMW X5 4.8IS,"152,400 mi","Kansas City, MO, USA","$6,969
SOLD",Cars & Bids,Auction,"Mar 31, 2021"
2017 BMW X5 M,"56,207 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Mar 26, 2021"
2013 BMW X5 XDRIVE50I,"79,100 mi","Saint Charles County, MO, USA","$19,000
SOLD",Cars & Bids,Auction,"Mar 24, 2021"
2008 BMW X5,,"Glendale, AZ, USA","$8,250
SOLD",Mecum,Auction,"Mar 18, 2021"
2007 BMW X5 4.8I,"112,300 mi","Huntsville, AL, USA","$8,222
SOLD",Cars & Bids,Auction,"Mar 11, 2021"
2015 BMW X5 XDRIVE35D,"55,900 mi","Fort Lauderdale, FL, USA","$28,250
SOLD",Cars & Bids,Auction,"Mar 8, 2021"
2007 BMW X5 4.8I,"26,000 mi","Walworth County, WI, USA","$23,000
SOLD",Bring a Trailer,Auction,"Mar 4, 2021"
2021 BMW X5 M50I,"1,557 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Mar 3, 2021"
2013 BMW X5 M,"62,300 mi","Silver Spring, MD, USA","$24,500
SOLD",Cars & Bids,Auction,"Feb 26, 2021"
2001 BMW X5 3.0I,"174,300 mi","Portland, OR, USA","$7,800
SOLD",Cars & Bids,Auction,"Feb 22, 2021"
2003 BMW X5 3.0I,"164,700 mi","San Diego, CA, USA","$3,900
SOLD",Cars & Bids,Auction,"Feb 5, 2021"
2015 BMW X5 XDRIVE35D,"84,100 mi","McLean, VA, USA","$25,000
SOLD",Cars & Bids,Auction,"Jan 25, 2021"
2018 BMW X5 M,"27,925 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Jan 18, 2021"
2003 BMW X5,,"Kissimmee, FL, USA","$5,500
SOLD",Mecum,Auction,"Jan 7, 2021"
2020 BMW X5 XDRIVE40I M Sport,"1,627 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Jan 6, 2021"
2002 BMW X5 3.0I,"71,700 mi","Erie County, PA, USA","$10,999
SOLD",Cars & Bids,Auction,"Dec 28, 2020"
2013 BMW X5 M,"111,900 mi","Indio, CA, USA","$17,300
SOLD",Cars & Bids,Auction,"Dec 1, 2020"
2015 BMW X5 M,"34,953 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Nov 25, 2020"
2014 BMW X5 XDRIVE50I,"37,146 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Nov 17, 2020"
2007 BMW X5 3.0SI,"114,187 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Nov 13, 2020"
2006 BMW E53 X5 4.8IS,"39,040 mi","Irvine, CA, USA","$19,953
SOLD",PCARMARKET,Auction,"Nov 5, 2020"
2018 BMW X5 M,"34,803 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Apr 24, 2021"
2010 BMW X5 M,"163,000 km (101,283 mi) · Automatic · LHD · Original & Highly Original","Laval, QC, CAN","CAD16,000
SOLD",Fast Car Bids,Auction,"Apr 22, 2021"
2010 BMW X5 M,"68,000 mi","Phoenix, AZ, USA","$32,000
SOLD",Bring a Trailer,Auction,"Apr 15, 2021"
2004 BMW X5 3.0I,"204,100 mi","Solon, OH, USA","$9,750
SOLD",Cars & Bids,Auction,"Apr 12, 2021"
2005 BMW X5 4.8IS,"152,400 mi","Kansas City, MO, USA","$6,969
SOLD",Cars & Bids,Auction,"Mar 31, 2021"
2017 BMW X5 M,"56,207 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Mar 26, 2021"
2013 BMW X5 XDRIVE50I,"79,100 mi","Saint Charles County, MO, USA","$19,000
SOLD",Cars & Bids,Auction,"Mar 24, 2021"
2008 BMW X5,,"Glendale, AZ, USA","$8,250
SOLD",Mecum,Auction,"Mar 18, 2021"
2007 BMW X5 4.8I,"112,300 mi","Huntsville, AL, USA","$8,222
SOLD",Cars & Bids,Auction,"Mar 11, 2021"
2015 BMW X5 XDRIVE35D,"55,900 mi","Fort Lauderdale, FL, USA","$28,250
SOLD",Cars & Bids,Auction,"Mar 8, 2021"
2007 BMW X5 4.8I,"26,000 mi","Walworth County, WI, USA","$23,000
SOLD",Bring a Trailer,Auction,"Mar 4, 2021"
2021 BMW X5 M50I,"1,557 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Mar 3, 2021"
2013 BMW X5 M,"62,300 mi","Silver Spring, MD, USA","$24,500
SOLD",Cars & Bids,Auction,"Feb 26, 2021"
