1956 BMW Isetta 300 Bubble Window z-Bar Project,"7,000 mi","Orange County, CA, USA","$13,000
SOLD",Bring a Trailer,Auction,"Mar 17, 2021"
1959 BMW Isetta 300,TMU,"East Gwillimbury, ON, CAN","$32,000
SOLD",Bring a Trailer,Auction,"Mar 10, 2021"
1960 BMW Isetta 600,TMU,"St. Andrews, MB, CAN","$72,000
SOLD",Bring a Trailer,Auction,"Mar 3, 2021"
1957 BMW Isetta 300,"10,637 mi · Manual · LHD · Restored-Original","Twinsburg, OH, USA","$33,500
SOLD",PCARMARKET,Fixed-price,"Mar 3, 2021"
1956 BMW Isetta 300,TMU,"Indianapolis, IN, USA","$18,335
SOLD",Bring a Trailer,Auction,"Feb 24, 2021"
1958 BMW Isetta 300,TMU,"Racine County, WI, USA","$31,050
SOLD",Bring a Trailer,Auction,"Feb 11, 2021"
1957 BMW Isetta Cabriolet,,"Kissimmee, FL, USA","$58,300
SOLD",Mecum,Auction,"Jan 16, 2021"
1958 BMW Isetta 300,,"Kissimmee, FL, USA","$36,300
SOLD",Mecum,Auction,"Jan 15, 2021"
1960 BMW Isetta,TMU,"Kissimmee, FL, USA","$29,700
SOLD",Mecum,Auction,"Jan 14, 2021"
1957 BMW Isetta 300,"25,000 mi","Vancouver, BC, CAN","$29,050
SOLD",Bring a Trailer,Auction,"Jan 5, 2021"
1959 BMW Isetta 300 Project,"15,000 mi","Belvidere, IL, USA","$17,217
SOLD",Bring a Trailer,Auction,"Nov 30, 2020"
1957 BMW Isetta 300 Cabriolet,"11,000 mi","Indianapolis, IN, USA","$25,250
SOLD",Bring a Trailer,Auction,"Nov 3, 2020"
1957 BMW Isetta 300,,"Elkhart, IN, USA","$34,720
SOLD",RM Sotheby's,Auction,"Oct 24, 2020"
1957 BMW Isetta 300,TMU,,"£14,985
SOLD",CCA Everyman Classics (UK),Auction,"Sep 19, 2020"
1961 BMW Isetta 300,TMU,,"£10,212
SOLD",CCA Everyman Classics (UK),Auction,"Sep 19, 2020"
1959 BMW Isetta 600,"38,000 mi","Charlotte, NC, USA","$30,027
SOLD",Bring a Trailer,Auction,"Sep 16, 2020"
1958 BMW Isetta 300 Microcar,,"Etterbeek, BEL","€14,375
SOLD",Bonhams,Auction,"Sep 6, 2020"
1957 BMW Isetta 300,"22,000 mi","Los Angeles, CA, USA","$14,500
SOLD",Bring a Trailer,Auction,"Sep 1, 2020"
1957 BMW Isetta 300,,"Kissimmee, FL, USA","$28,600
SOLD",Mecum,Auction,"Aug 27, 2020"
1957 BMW Isetta 300,,"Greenville, SC, USA","$29,120
SOLD",Bonhams,Auction,"Aug 14, 2020"
1957 BMW Isetta 300,"23,000 mi","Tucson, AZ, USA","$26,000
SOLD",Bring a Trailer,Auction,"Aug 14, 2020"
1957 BMW Isetta,"11,000 mi","East Gwillimbury, ON, CAN","$23,750
SOLD",Bring a Trailer,Auction,"Jul 21, 2020"
1957 BMW Isetta 300,,"Indianapolis, IN, USA","$22,000
SOLD",Mecum,Auction,"Jul 12, 2020"
1957 BMW Isetta 300 Cabriolet,"19,000 mi","Corpus Christi, TX, USA","$30,250
SOLD",Bring a Trailer,Auction,"Jun 25, 2020"
1957 BMW Isetta 300,"2,070 mi",,"$31,900
SOLD",RM Sotheby's,Auction,"May 29, 2020"
